t theta theta1 theta2 omega omega1 omega2
3.520000 21.0134 12.3795 1.98942 1.0546 -1.11103 -0.0465614
3.530000 21.4791 11.7743 1.99515 0.573987 -1.0024 0.0657125
3.540000 21.6736 11.2303 2.06402 0.10609 -0.896948 0.174307
3.550000 21.6012 10.7464 2.19475 -0.359256 -0.791945 0.282159
3.560000 21.2603 10.3232 2.38781 -0.833094 -0.68441 0.392403
3.570000 20.6425 9.96323 2.64553 -1.32788 -0.570989 0.508519
3.580000 19.7318 9.67081 2.97242 -1.85829 -0.447767 0.634554
3.590000 18.503 9.45287 3.37547 -2.44175 -0.310154 0.775254
3.600000 16.9201 9.31906 3.86455 -3.0966 -0.153396 0.935584
3.610000 14.9392 9.28118 4.45181 -3.83033 0.0243303 1.11768
3.620000 12.5239 9.34881 5.14741 -4.59543 0.210492 1.30937
3.630000 9.70429 9.51437 5.94446 -5.19031 0.352846 1.45842
3.640000 6.67588 9.72753 6.79303 -5.2745 0.363965 1.4762
